St Case Num,Age,Sex,Race,Seat Pos,AirBag Deployed,Is Fatal,Is Drug,Is Drunk,BAC,Case Date,Make Name,Model Name,Model Year,State,County
63463,32,1,Not a Fatality (not Applicable),"Front Seat, Left Side",False,False,No (drugs not involved),Yes (Alcohol Involved),0.000 % BAC,2017-12-02,Other Make,Other Make Hino,2015,California,ALAMEDA (1)
63463,43,1,Not a Fatality (not Applicable),"Front Seat, Right Side",False,False,Not Reported,Not Reported,Test Not Given,2017-12-02,Other Make,Other Make Hino,2015,California,ALAMEDA (1)
120156,30,1,White,"Front Seat, Left Side",True,True,Unknown,Unknown (Police Reported),0.130 % BAC,2017-01-30,BMW,BMW 6-series,2013,Florida,WALTON (131)
120156,33,1,Not a Fatality (not Applicable),"Front Seat, Right Side",True,False,Not Reported,Not Reported,Test Not Given,2017-01-30,BMW,BMW 6-series,2013,Florida,WALTON (131)
310001,999,9,Not a Fatality (not Applicable),"Front Seat, Left Side",True,False,Unknown,Unknown (Police Reported),Test Not Given,2017-01-01,Unknown Make,"Unknown Make Unknown (as to automobile, motored cycle, light truck or truck)",9999,Nebraska,SCOTTS BLUFF (157)
480010,20,1,White,"Front Seat, Left Side",False,True,Not Reported,Not Reported,Test Not Given,2017-01-01,Chevrolet,Chevrolet S-10/T-10 Pickup,2000,Texas,ROBERTSON (395)
480006,25,1,White,"Front Seat, Left Side",False,True,No (drugs not involved),Yes (Alcohol Involved),0.182 % BAC,2017-01-01,Ford,Ford Mustang/Mustang II,2004,Texas,JOHNSON (251)
420095,13,1,Unknown,"Front Seat, Left Side",False,True,No (drugs not involved),No (Alcohol Not Involved),0.000 % BAC,2017-01-27,Honda,Honda 125-349cc (ATV),2011,Pennsylvania,BUCKS (17)
420095,13,1,Not a Fatality (not Applicable),"Second Seat, Left Side",False,False,Not Reported,Not Reported,Test Not Given,2017-01-27,Honda,Honda 125-349cc (ATV),2011,Pennsylvania,BUCKS (17)
62895,25,1,White,"Front Seat, Left Side",False,True,Unknown,Unknown (Police Reported),0.000 % BAC,2017-07-26,Harley-Davidson,Harley-Davidson 750cc or greater,2016,California,SAN BERNARDINO (71)
60034,75,2,Not a Fatality (not Applicable),"Front Seat, Left Side",False,False,No (drugs not involved),No (Alcohol Not Involved),Test Not Given,2017-01-12,Datsun/Nissan,Datsun/Nissan Pathfinder,2001,California,KERN (29)
60034,72,2,White,"Front Seat, Right Side",False,True,Not Reported,Not Reported,0.000 % BAC,2017-01-12,Datsun/Nissan,Datsun/Nissan Pathfinder,2001,California,KERN (29)
450001,36,1,Not a Fatality (not Applicable),"Front Seat, Left Side",False,False,Not Reported,Not Reported,Not Reported,2017-01-01,Cadillac,Cadillac CTS/CTC,2003,South Carolina,GEORGETOWN (43)
450001,38,1,Not a Fatality (not Applicable),"Second Seat, Left Side",False,False,Not Reported,Not Reported,Test Not Given,2017-01-01,Cadillac,Cadillac CTS/CTC,2003,South Carolina,GEORGETOWN (43)
450001,35,1,Black,"Second Seat, Middle",False,True,Not Reported,Not Reported,Test Not Given,2017-01-01,Cadillac,Cadillac CTS/CTC,2003,South Carolina,GEORGETOWN (43)
450001,27,1,Not a Fatality (not Applicable),"Second Seat, Right Side",False,False,Not Reported,Not Reported,Test Not Given,2017-01-01,Cadillac,Cadillac CTS/CTC,2003,South Carolina,GEORGETOWN (43)
450001,40,1,Not a Fatality (not Applicable),"Front Seat, Right Side",False,False,Not Reported,Not Reported,Test Not Given,2017-01-01,Cadillac,Cadillac CTS/CTC,2003,South Carolina,GEORGETOWN (43)
130001,54,2,White,"Front Seat, Left Side",True,True,No (drugs not involved),No (Alcohol Not Involved),Test Not Given,2017-01-01,Chevrolet,Chevrolet Cobalt,2008,Georgia,BARROW (13)
120018,36,2,Not a Fatality (not Applicable),"Front Seat, Left Side",True,False,Reported as Unknown,Reported as Unknown,0.080 % BAC,2018-01-01,Pontiac,Pontiac Grand Prix (FWD),2001,Florida,DUVAL (31)
120018,41,1,Black,"Front Seat, Right Side",False,True,Not Reported,Not Reported,Positive Reading with No Actual Value,2018-01-01,Pontiac,Pontiac Grand Prix (FWD),2001,Florida,DUVAL (31)
120018,11,1,Not a Fatality (not Applicable),"Second Seat, Middle",False,False,Not Reported,Not Reported,Test Not Given,2018-01-01,Pontiac,Pontiac Grand Prix (FWD),2001,Florida,DUVAL (31)
120018,2,2,Not a Fatality (not Applicable),"Second Seat, Left Side",False,False,Not Reported,Not Reported,Test Not Given,2018-01-01,Pontiac,Pontiac Grand Prix (FWD),2001,Florida,DUVAL (31)
