St Case Num,Age,Sex,Race,Seat Pos,AirBag Deployed,Is Fatal,Is Drug,Is Drunk,BAC,Case Date,Make Name,Model Name,Model Year,State,County
280611,18,1,,"Front Seat, Left Side",True,False,No (drugs not involved),No (Alcohol Not Involved),Test Not Given,2020-12-05,Saab,Saab 9-3/9-3X,2004,Mississippi,HINDS (49)
260863,72,2,,"Front Seat, Left Side",False,False,No (drugs not involved),No (Alcohol Not Involved),Test Not Given,2020-12-05,Chrysler,Chrysler Pacifica (Light Trucks),2020,Michigan,MACOMB (99)
450871,38,1,,"Front Seat, Left Side",True,False,No (drugs not involved),No (Alcohol Not Involved),Test Not Given,2020-12-05,Dodge,Dodge Challenger (2008 on; for 1970-74 see model 005),2020,South Carolina,CHARLESTON (19)
290858,40,1,,"Front Seat, Left Side",False,False,Not Reported,No (Alcohol Not Involved),0.000 % BAC,2020-12-05,International Harvester/Navistar,International Harvester/Navistar Medium/Heavy - CBE,2019,Missouri,GREENE (77)
200380,31,2,,"Front Seat, Left Side",False,False,No (drugs not involved),Yes (Alcohol Involved),0.099 % BAC,2020-12-05,Honda,Honda Pilot,2004,Kansas,RENO (155)
200380,23,2,,"Third Seat, Middle",False,False,Not Reported,Not Reported,Test Not Given,2020-12-05,Honda,Honda Pilot,2004,Kansas,RENO (155)
200380,25,1,,"Third Seat, Right Side",False,False,Not Reported,Not Reported,Test Not Given,2020-12-05,Honda,Honda Pilot,2004,Kansas,RENO (155)
200380,31,2,,"Second Seat, Middle",False,False,Not Reported,Not Reported,Test Not Given,2020-12-05,Honda,Honda Pilot,2004,Kansas,RENO (155)
200380,44,1,,"Third Seat, Left Side",False,True,No (drugs not involved),No (Alcohol Not Involved),Test Not Given,2020-12-05,Honda,Honda Pilot,2004,Kansas,RENO (155)
200380,45,1,,"Second Seat, Right Side",False,False,Not Reported,Not Reported,Test Not Given,2020-12-05,Honda,Honda Pilot,2004,Kansas,RENO (155)
200380,39,1,,"Front Seat, Right Side",False,False,Not Reported,Not Reported,Test Not Given,2020-12-05,Honda,Honda Pilot,2004,Kansas,RENO (155)
200380,42,1,,"Second Seat, Left Side",False,False,Not Reported,Not Reported,Test Not Given,2020-12-05,Honda,Honda Pilot,2004,Kansas,RENO (155)
170578,41,1,,"Front Seat, Left Side",True,True,Not Reported,Reported as Unknown,Test Not Given,2020-12-05,Ford,Ford Taurus/Taurus X,2004,Illinois,COOK (31)
400527,29,1,,"Front Seat, Left Side",True,True,Not Reported,Reported as Unknown,0.120 % BAC,2020-12-06,Chevrolet,Chevrolet Camaro,2011,Oklahoma,TULSA (143)
122958,35,1,,"Front Seat, Left Side",True,True,No (drugs not involved),Yes (Alcohol Involved),0.200 % BAC,2020-12-06,BMW,"BMW X5 (For 2000-16.  For 2017 on, see model 421).",2016,Florida,COLLIER (21)
122958,42,1,,"Front Seat, Right Side",True,False,Not Reported,Not Reported,Test Not Given,2020-12-06,BMW,"BMW X5 (For 2000-16.  For 2017 on, see model 421).",2016,Florida,COLLIER (21)
450967,18,1,,"Front Seat, Left Side",True,False,Yes (drugs involved),Yes (Alcohol Involved),0.029 % BAC,2020-12-06,Lincoln,Lincoln Zephyr/MKZ,2008,South Carolina,COLLETON (29)
450967,19,1,,"Front Seat, Right Side",True,True,Not Reported,Not Reported,0.057 % BAC,2020-12-06,Lincoln,Lincoln Zephyr/MKZ,2008,South Carolina,COLLETON (29)
123216,32,1,,"Front Seat, Left Side",False,True,Yes (drugs involved),No (Alcohol Not Involved),0.000 % BAC,2020-12-06,Suzuki,Suzuki 450-749cc,2007,Florida,MIAMI-DADE (86)
360963,27,1,,"Front Seat, Left Side",False,False,Not Reported,Not Reported,0.078 % BAC,2020-12-06,Ford,Ford E-Series Van/Econoline,2006,New York,ORANGE (71)
360963,23,1,,"Front Seat, Right Side",False,True,Not Reported,Not Reported,0.000 % BAC,2020-12-06,Ford,Ford E-Series Van/Econoline,2006,New York,ORANGE (71)
360963,17,2,,"Second Seat, Right Side",False,False,Not Reported,Not Reported,Test Not Given,2020-12-06,Ford,Ford E-Series Van/Econoline,2006,New York,ORANGE (71)
270346,26,1,,"Front Seat, Left Side",False,True,No (drugs not involved),Yes (Alcohol Involved),0.233 % BAC,2020-12-06,Other Make,Other Make Other (vehicle),2012,Minnesota,GOODHUE (49)
