,CountyName,StateName,Fatals,lat,long
0,ABBEVILLE ,South Carolina,13,34.1779495,-82.3792463
1,ACADIA ,Louisiana,62,29.7688198,-90.8014815
2,ADA ,Idaho,87,43.4136539,-116.2367421
3,ADAIR ,Iowa,16,41.5004425,-94.6435794
4,ADAIR ,Kentucky,13,37.9506102,-86.8266569
5,ADAIR ,Missouri,8,40.2522575,-92.3765782
6,ADAIR ,Oklahoma,19,36.4367575,-95.2713584
7,ADAMS ,Colorado,220,39.8714085,-104.2701374
8,ADAMS ,Idaho,10,44.8677448,-116.4572399
9,ADAMS ,Illinois,19,39.9787786,-91.2110065
10,ADAMS ,Indiana,22,39.4822701,-86.3555484
11,ADAMS ,Iowa,5,18.4613108,120.903571
12,ADAMS ,Mississippi,19,32.1598736,-90.5606536
13,ADAMS ,Nebraska,13,40.4594517,-96.508127
14,ADAMS ,North Dakota,1,46.073286,-102.5315028
15,ADAMS ,Ohio,24,41.384455,-84.28480454232948
16,ADAMS ,Pennsylvania,50,40.3595226,-77.8616634
17,ADJUNTAS ,Puerto Rico,5,18.163821,-66.723399
18,AGUADA ,Puerto Rico,5,18.379605,-67.18743
19,AGUADILLA ,Puerto Rico,15,18.449202,-67.154594
20,AGUAS BUENAS ,Puerto Rico,2,18.254864,-66.107193
21,AIBONITO ,Puerto Rico,1,18.138351,-66.264259
22,AIKEN ,South Carolina,118,33.5616173,-81.7224579
23,AITKIN ,Minnesota,11,46.5333985,-93.7096936
24,ALACHUA ,Florida,202,29.7895372,-82.4875131
25,ALAMANCE ,North Carolina,73,36.0351361,-79.4858549
26,ALAMEDA ,California,337,37.7652076,-122.241635
27,ALAMOSA ,Colorado,15,37.469877,-105.8696
28,ALBANY ,New York,67,42.6511674,-73.754968
29,ALCONA ,Michigan,4,44.7600127,-83.2977451
30,ALCORN ,Mississippi,27,31.8779382,-91.1392755
31,ALEXANDER ,Illinois,12,39.7244928,-90.0381679
32,ALEXANDER ,North Carolina,21,35.91394145,-78.77186913300676
33,ALFALFA ,Oklahoma,9,35.2189456,-98.6072856
34,ALGER ,Michigan,8,46.4047895,-86.5280993
35,ALLAMAKEE ,Iowa,8,43.2961731,-91.3961856
36,ALLEGAN ,Michigan,66,42.5291989,-85.8553031
37,ALLEGANY ,Maryland,25,39.6400877,-78.8280761
38,ALLEGANY ,New York,16,42.0900239,-78.4943858
39,ALLEGHANY ,North Carolina,7,39.4709464,-120.8435264
40,ALLEGHENY ,Pennsylvania,250,39.8248199,-78.9596562
41,ALLEN ,Indiana,139,39.1039425,-85.3169058
42,ALLEN ,Kansas,3,37.8882168,-95.3170208
43,ALLEN ,Kentucky,22,37.6095426,-82.7276582
44,ALLEN ,Louisiana,20,31.8354411,-93.2885038
45,ALLEN ,Ohio,49,41.5904781,-83.35754628812117
46,ALLENDALE ,South Carolina,13,33.0079345,-81.3084405
47,ALPENA ,Michigan,6,45.0616794,-83.4327528
48,ALPINE ,California,3,32.843979000000004,-116.7601167124217
49,AMADOR ,California,42,38.449089,-120.5911018
50,AMITE ,Mississippi,18,31.1729865,-90.8217568
51,ANCHORAGE ,Alaska,76,61.2163129,-149.894852
52,ANDERSON ,Kansas,6,38.198077,-95.3067461
53,ANDERSON ,Kentucky,9,37.0180991,-86.7997176
54,ANDERSON ,South Carolina,177,34.5068601,-82.6506264
55,ANDERSON ,Tennessee,37,34.9939719,-85.9030336
56,ANDERSON ,Texas,42,30.487147,-95.9868986
57,ANDREW ,Missouri,12,39.9845508,-94.8090258
58,ANDREWS ,Texas,32,32.3187158,-102.545715
59,ANDROSCOGGIN ,Maine,35,46.8200431,-67.9230792
60,ANGELINA ,Texas,56,31.2544545,-94.6181177
61,ANNE ARUNDEL ,Maryland,176,38.9722583,-76.573454
62,ANOKA ,Minnesota,85,45.1977428,-93.3871758
63,ANSON ,North Carolina,20,35.90543515,-78.5948642626552
64,ANTELOPE ,Nebraska,3,42.1864809,-98.0716943
65,ANTRIM ,Michigan,11,44.9947369,-85.1133189
66,APACHE ,Arizona,93,15.6836396,-87.3329197
67,APPANOOSE ,Iowa,6,40.7455904,-92.8649061
68,APPLING ,Georgia,17,33.5459683,-82.3159572
69,ARANSAS ,Texas,16,28.1987876,-96.947708
70,ARAPAHOE ,Colorado,172,39.6416781,-104.3628567
71,ARCHER ,Texas,17,33.5956593,-98.6256128
72,ARCHULETA ,Colorado,8,37.1995993,-107.0842479
73,ARECIBO ,Puerto Rico,11,18.445726,-66.741514
74,ARENAC ,Michigan,17,44.0608193,-83.8718694
75,ARKANSAS ,Arkansas,13,34.2902454,-91.3598511
76,ARMSTRONG ,Pennsylvania,33,41.0942279,-80.0517246
77,ARMSTRONG ,Texas,7,29.7238418,-97.2097108
78,AROOSTOOK ,Maine,29,46.8200431,-67.9230792
79,ARROYO ,Puerto Rico,2,17.964699,-66.06216
80,ASCENSION ,Louisiana,95,-34.2308105,-61.1032598
81,ASHE ,North Carolina,15,34.4782224,-77.4663541
82,ASHLAND ,Ohio,28,40.8686147,-82.3175942
83,ASHLEY ,Arkansas,15,51.1566136,-1.0709548
84,ASHTABULA ,Ohio,61,41.865054,-80.789809
85,ASSUMPTION ,Louisiana,27,41.6719958,-83.9116094
86,ATASCOSA ,Texas,34,29.2669044,-98.7319673
87,ATCHISON ,Kansas,14,39.5632392,-95.1199452
88,ATCHISON ,Missouri,5,39.5632392,-95.1199452
89,ATHENS ,Ohio,38,39.3289242,-82.1012479
90,ATKINSON ,Georgia,9,31.2232805,-81.8526121
91,ATLANTIC ,New Jersey,141,39.3642852,-74.4229351
92,ATOKA ,Oklahoma,23,34.383855,-96.1289831
93,ATTALA ,Mississippi,16,46.3765721,18.0660777
94,AUDRAIN ,Missouri,9,39.2226625,-91.8467268
95,AUDUBON ,Iowa,3,41.7216265,-94.9307636
96,AUGLAIZE ,Ohio,22,40.6881845,-83.93702053861111
97,AURORA ,South Dakota,4,44.284135,-96.685606
98,AUSTIN ,Texas,23,30.2711286,-97.7436995
99,AUTAUGA ,Alabama,35,32.5165255,-86.6319403
100,AVERY ,North Carolina,9,38.204363,-120.369919
101,AVOYELLES ,Louisiana,28,31.0471604,-92.0019698
102,AÑASCO ,Puerto Rico,1,18.28273,-67.13962
103,BACA ,Colorado,5,37.3147687,-102.5770885
104,BACON ,Georgia,10,48.4205028,-4.2694234
105,BAILEY ,Texas,7,43.9850693,-75.504911
106,BAKER ,Florida,21,30.7972254,-86.681691
107,BAKER ,Georgia,6,31.5751746,-84.1093511
108,BAKER ,Oregon,22,44.7748748,-117.834384
109,BALDWIN ,Alabama,122,30.5677527,-87.7324392
110,BALDWIN ,Georgia,37,34.4917665,-83.5373947
111,BALLARD ,Kentucky,13,37.930351,-84.9905101
112,BALTIMORE ,Maryland,458,39.2908816,-76.610759
113,BAMBERG ,South Carolina,9,33.2971012,-81.0348202
