,State,County,Base Estimate,2020,2021,2022
0, Alabama,Autauga,58802,58902,59210.0,59759.0
1, Alabama,Baldwin,231761,233219,239361.0,246435.0
2, Alabama,Barbour,25224,24960,24539.0,24706.0
3, Alabama,Bibb,22300,22183,22370.0,22005.0
4, Alabama,Blount,59130,59102,59085.0,59512.0
5, Alabama,Bullock,10362,10296,10280.0,10202.0
6, Alabama,Butler,19055,19031,18855.0,18650.0
7, Alabama,Calhoun,116444,116239,115677.0,115788.0
8, Alabama,Chambers,34774,34645,34446.0,34088.0
9, Alabama,Cherokee,24979,24972,25026.0,25302.0
10, Alabama,Chilton,45009,45051,45259.0,45884.0
11, Alabama,Choctaw,12663,12619,12549.0,12439.0
12, Alabama,Clarke,23087,22981,22715.0,22515.0
13, Alabama,Clay,14237,14211,14190.0,14198.0
14, Alabama,Cleburne,15057,15063,15148.0,15346.0
15, Alabama,Coffee,53460,53547,54171.0,54805.0
16, Alabama,Colbert,57232,57299,57619.0,58033.0
17, Alabama,Conecuh,11597,11553,11320.0,11206.0
18, Alabama,Coosa,10382,10341,10366.0,10166.0
19, Alabama,Covington,37567,37507,37542.0,37602.0
20, Alabama,Crenshaw,13197,13165,13056.0,13025.0
21, Alabama,Cullman,87857,88131,89618.0,90665.0
22, Alabama,Dale,49319,49253,49412.0,49544.0
23, Alabama,Dallas,38463,38174,37565.0,36767.0
24, Alabama,DeKalb,71611,71648,71829.0,71998.0
25, Alabama,Elmore,87974,87853,88737.0,89563.0
26, Alabama,Escambia,36767,36680,36658.0,36666.0
27, Alabama,Etowah,103441,103447,103139.0,103088.0
28, Alabama,Fayette,16326,16330,16155.0,16118.0
29, Alabama,Franklin,32113,32075,31996.0,31932.0
30, Alabama,Geneva,26660,26696,26667.0,26783.0
31, Alabama,Greene,7734,7702,7592.0,7422.0
32, Alabama,Hale,14786,14768,14737.0,14595.0
33, Alabama,Henry,17148,17175,17434.0,17655.0
34, Alabama,Houston,107204,107286,107453.0,108079.0
35, Alabama,Jackson,52582,52545,52694.0,52891.0
36, Alabama,Jefferson,674355,674675,669997.0,665409.0
37, Alabama,Lamar,13976,13956,13740.0,13705.0
38, Alabama,Lauderdale,93565,94025,94862.0,95878.0
39, Alabama,Lawrence,33077,33089,33123.0,33214.0
40, Alabama,Lee,174244,174742,177655.0,180773.0
41, Alabama,Limestone,103563,104190,107381.0,110900.0
42, Alabama,Lowndes,10310,10273,9926.0,9777.0
43, Alabama,Macon,19534,19473,18906.0,18516.0
44, Alabama,Madison,388160,390502,396593.0,403565.0
45, Alabama,Marengo,19324,19266,18961.0,18745.0
46, Alabama,Marion,29341,29166,29006.0,29156.0
47, Alabama,Marshall,97611,97696,98316.0,99423.0
48, Alabama,Mobile,414812,414353,413017.0,411411.0
49, Alabama,Monroe,19770,19704,19557.0,19404.0
50, Alabama,Montgomery,228948,228322,226953.0,226361.0
51, Alabama,Morgan,123421,123288,123403.0,124211.0
52, Alabama,Perry,8515,8458,8317.0,8035.0
53, Alabama,Pickens,19124,18922,18615.0,18697.0
54, Alabama,Pike,33008,32906,32740.0,33014.0
55, Alabama,Randolph,21970,22092,22199.0,22479.0
56, Alabama,Russell,59187,59259,58668.0,58555.0
57, Alabama,St.,91471,91652,92903.0,93932.0
58, Alabama,Shelby,223034,223881,227428.0,230115.0
59, Alabama,Sumter,12348,12196,11961.0,11853.0
60, Alabama,Talladega,82152,81428,80483.0,80704.0
61, Alabama,Tallapoosa,41316,41286,41132.0,40977.0
62, Alabama,Tuscaloosa,227041,231534,235668.0,236780.0
63, Alabama,Walker,65342,65132,64629.0,64339.0
64, Alabama,Washington,15388,15327,15234.0,15122.0
65, Alabama,Wilcox,10601,10432,10331.0,10059.0
66, Alabama,Winston,23544,23488,23672.0,23755.0
67, Alaska,Aleutians,3419,3425,3424.0,3398.0
68, Alaska,Aleutians,5232,5222,5155.0,5122.0
69, Alaska,Anchorage,291244,290866,288702.0,287145.0
70, Alaska,Bethel,18670,18673,18599.0,18257.0
71, Alaska,Bristol,843,829,841.0,865.0
72, Alaska,Chugach,7097,7077,6943.0,6874.0
73, Alaska,Copper,2618,2616,2611.0,2589.0
74, Alaska,Denali,1624,1614,1594.0,1585.0
75, Alaska,Dillingham,4853,4835,4774.0,4723.0
76, Alaska,Fairbanks,95657,95328,95528.0,95356.0
77, Alaska,Haines,2080,2086,2074.0,2056.0
78, Alaska,Hoonah-Angoon,2364,2362,2339.0,2287.0
79, Alaska,Juneau,32255,32202,31965.0,31685.0
80, Alaska,Kenai,58789,58927,59851.0,60690.0
81, Alaska,Ketchikan,13957,13918,13810.0,13741.0
82, Alaska,Kodiak,13101,13047,12864.0,12720.0
83, Alaska,Kusilvak,8372,8373,8398.0,8278.0
84, Alaska,Lake,1476,1452,1419.0,1381.0
85, Alaska,Matanuska-Susitna,107082,107515,111059.0,113325.0
86, Alaska,Nome,10049,10028,9908.0,9835.0
87, Alaska,North,11030,11002,11011.0,10805.0
88, Alaska,Northwest,7790,7790,7560.0,7423.0
